modality,n_features,task,model,fold,test_subject,accuracy,f1_macro
Heart only (HR/HRV),9,3class,RandomForest,4,5,0.4187192118226601,0.3646118447061349
Heart only (HR/HRV),9,3class,LogReg,5,6,0.599009900990099,0.5516031686156168
Heart only (HR/HRV),9,3class,RandomForest,5,6,0.7079207920792079,0.5139258402416297
Heart only (HR/HRV),9,3class,LogReg,6,7,0.31343283582089554,0.34760845383759736
Heart only (HR/HRV),9,3class,RandomForest,6,7,0.6567164179104478,0.5516495836002563
Heart only (HR/HRV),9,3class,LogReg,7,8,0.7438423645320197,0.6575552627726541
Heart only (HR/HRV),9,3class,RandomForest,7,8,0.7684729064039408,0.5846522592631542
Heart only (HR/HRV),9,3class,LogReg,8,9,0.38613861386138615,0.3869579360908841
Heart only (HR/HRV),9,3class,RandomForest,8,9,0.5891089108910891,0.48591920722648124
Heart only (HR/HRV),9,3class,LogReg,9,10,0.39712918660287083,0.3947504927897085
Heart only (HR/HRV),9,3class,RandomForest,9,10,0.3349282296650718,0.2446216206472082
Heart only (HR/HRV),9,3class,LogReg,10,11,0.9658536585365853,0.9545196392466889
Heart only (HR/HRV),9,3class,RandomForest,10,11,0.775609756097561,0.6217278364337188
Heart only (HR/HRV),9,3class,LogReg,11,13,0.5098039215686274,0.44426915122669836
Heart only (HR/HRV),9,3class,RandomForest,11,13,0.6029411764705882,0.456969847787317
Heart only (HR/HRV),9,3class,LogReg,12,14,0.6421568627450981,0.6078144078144078
Heart only (HR/HRV),9,3class,RandomForest,12,14,0.8774509803921569,0.7878275319742425
Heart only (HR/HRV),9,3class,LogReg,13,15,0.35609756097560974,0.36469460738580556
Heart only (HR/HRV),9,3class,RandomForest,13,15,0.5170731707317073,0.4716585938781894
Heart only (HR/HRV),9,3class,LogReg,14,16,0.6715686274509803,0.5571729767175687
Heart only (HR/HRV),9,3class,RandomForest,14,16,0.6225490196078431,0.5658446570957768
Heart only (HR/HRV),9,3class,LogReg,15,17,0.6602870813397129,0.5562576312576313
Heart only (HR/HRV),9,3class,RandomForest,15,17,0.6842105263157895,0.54884149552396
Heart only (HR/HRV),9,binary,LogReg,1,2,0.8608247422680413,0.8215636177823199
Heart only (HR/HRV),9,binary,RandomForest,1,2,0.8865979381443299,0.8633627865283646
Heart only (HR/HRV),9,binary,LogReg,2,3,0.6192893401015228,0.6189358574265598
Heart only (HR/HRV),9,binary,RandomForest,2,3,0.9289340101522843,0.9161192214111922
Heart only (HR/HRV),9,binary,LogReg,3,4,0.9191919191919192,0.8915217093548828
Heart only (HR/HRV),9,binary,RandomForest,3,4,0.9545454545454546,0.9416789396170839
Heart only (HR/HRV),9,binary,LogReg,4,5,0.8571428571428571,0.7878787878787878
Heart only (HR/HRV),9,binary,RandomForest,4,5,0.7192118226600985,0.5338972809667674
Heart only (HR/HRV),9,binary,LogReg,5,6,0.8613861386138614,0.8087121212121212
Heart only (HR/HRV),9,binary,RandomForest,5,6,0.8564356435643564,0.7910469056536472
Heart only (HR/HRV),9,binary,LogReg,6,7,0.9601990049751243,0.9520171878730007
Heart only (HR/HRV),9,binary,RandomForest,6,7,0.9701492537313433,0.962453300124533
Heart only (HR/HRV),9,binary,LogReg,7,8,0.9655172413793104,0.9575377259823696
Heart only (HR/HRV),9,binary,RandomForest,7,8,0.9064039408866995,0.8764138549777307
Heart only (HR/HRV),9,binary,LogReg,8,9,0.7970297029702971,0.6834460879868516
Heart only (HR/HRV),9,binary,RandomForest,8,9,0.8861386138613861,0.84398401558145
Heart only (HR/HRV),9,binary,LogReg,9,10,0.46411483253588515,0.44865272281891844
